ticker,name,collected_at,data_start_date,price,change,volume,ghl_color,ghl_status,ghl_days_since_change,ghl_last_change_date,ghl_last_change_price,ghl_change_percent_from_last_change,rsi,rsi_status,rsi_last_change_date,rsi_last_change_price,rsi_days_since_last_change,rsi_change_percent_from_last_change,sector,industry,tradingview_id,market_capitalization,commodity_name,display_name,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,last_max,fell_from_last_max,last_local_min_date,last_local_min_price,is_last_candle_min,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,is_last_candle_max,days_after_last_local_max,percent_fall_from_last_local_max,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,ml_direction,ml_value,ml_last_change_date,ml_last_change_price,ml_change_percent_from_last_change
BTCUSDT,Bitcoin,2026-02-23T03:45:07.075Z,2017-08-17,65016.76,-3.8830691538272655,10843.64873,blue,close,32,2026-01-22,89559.68,-27.40398357832452,32.14019369216179,open,2026-02-12,66272.17,11,-1.8943245709322598,,,CRYPTO:BTCUSD,1299052536054,,Bitcoin,80842.01819999999,85043.02659999998,98679.27745,-19.575535782455255,-23.54839356105417,-34.113056276741105,68231.798,72534.24050498527,63929.355495014715,-10.36404386762496,1.700947079108417,97924.49,33.605209483347835,2026-02-06,60000,,17,8.361266666666669,2026-01-14,97924.49,,40,33.605209483347835,,,,-1,75561.4178987903,2026-01-20,88427.66,-26.474634746639236
ETHUSDT,Ethereum,2026-02-23T03:45:08.374Z,2017-08-17,1865.23,-4.729239664524824,165842.3343,blue,close,31,2026-01-23,2956.41,-36.90895376487022,30.593883143909807,open,2026-02-11,1941.19,12,-3.9130636362231463,,,CRYPTO:ETHUSD,225053827573.57443,,Ethereum,2593.3520000000003,2800.7231999999995,3478.6682999999985,-28.076481711699774,-33.40184420938134,-46.380918238166004,1999.708,2158.806207356337,1840.609792643663,-13.599007004702324,1.3376114510927906,3402.89,45.18688526517166,2026-02-06,1747.8,,17,6.71873212037991,2026-01-14,3402.89,,40,45.18688526517166,,,,-1,2285.9008219752404,2026-01-20,2939.88,-36.554213097133214
SOLUSDT,Solana,2026-02-23T03:45:10.544Z,2020-08-11,77.81,-6.015219229375533,1490547.184,blue,close,115,2025-10-31,187.21,-58.43704930292185,31.913113776976346,open,2026-02-03,97.89,20,-20.512820512820507,,,CRYPTO:SOLUSD,44232416459.181755,,Solana,111.2378,121.2401,159.89815000000002,-30.050756127863,-35.82156398749259,-51.33777345141266,84.22999999999999,91.58838025655102,76.87161974344896,-15.043808197017983,1.2207109199504185,148.74,47.687239478284255,2026-02-06,67.5,,17,15.274074074074079,2026-01-13,148.74,,41,47.687239478284255,,,,-1,98.38428178213228,2026-01-20,125.81,-38.15277005007551
XRPUSDT,XRP,2026-02-23T03:45:12.497Z,2018-05-04,1.3458,-3.402239448751068,48050113.9,blue,close,135,2025-10-11,2.3819,-43.49888744279776,35.0127597502882,open,2026-01-31,1.6472,23,-18.29771733851383,,,CRYPTO:XRPUSD,82124912174.6443,,XRP,1.7458159999999996,1.880700999999999,2.3225005000000003,-22.912838466367567,-28.441575774139494,-42.05383378819509,1.42007,1.5504573782235074,1.2896826217764925,-13.199806785917644,4.351254896046286,2.4172,44.324011252689054,2026-02-06,1.1172,,17,20.461868958109573,2026-01-06,2.4172,,48,44.324011252689054,,,,-1,1.66153481607309,2026-01-18,1.9914,-32.4194034347695
BNBUSDT,BNB,2026-02-23T03:45:14.684Z,2017-11-06,590.33,-3.9801561483409102,86601.859,blue,close,25,2026-01-29,868.69,-32.04365193567325,29.5032230414283,open,2026-02-23,590.33,0,0,,,CRYPTO:BNBUSD,80468189113.56041,,BNB,781.7376,826.9049000000002,907.1063999999997,-24.48489109389135,-28.609686555249592,-34.921636535691924,625.4715,670.3257980214828,580.6172019785172,-11.933868315615538,1.6728402101049422,959.52,38.47652993163248,2026-02-06,570.06,,17,3.5557660597130294,2026-01-17,959.52,,37,38.47652993163248,,,,-1,695.0425233075964,2026-01-25,866.02,-31.834137779727946
DOGEUSDT,Dogecoin,2026-02-23T03:45:16.625Z,2019-07-05,0.093,-2.699309478970495,301337144,blue,close,129,2025-10-17,0.18471,-49.65080396296898,37.8196219933295,open,2026-02-11,0.09113,12,2.0520136069351436,,,CRYPTO:DOGEUSD,15687810608.844212,,Dogecoin,0.11689,0.12800059999999996,0.1736321999999999,-20.438018650012822,-27.344090574575407,-46.4385062217722,0.097738,0.10747857821692328,0.08799742178307673,-13.471129277223282,5.684914529945173,0.15656,40.597853857945836,2026-02-06,0.08001,,17,16.23547056617923,2026-01-06,0.15656,,48,40.597853857945836,,,,-1,0.11505446130125518,2026-01-20,0.12336,-24.610894941634243
PAXGUSDT,PAX Gold,2026-02-23T03:45:17.626Z,2020-08-28,5185.85,-0.01619529989259501,3930.23,gold,open,180,2025-08-27,3387.82,53.07336281148349,59.79512367046743,close,2026-01-18,4685.55,36,10.677508510206923,,,CRYPTO:PAXGUSD,2379659183.69175,,PAX Gold,4883.789600000002,4580.929700000001,4179.8187,6.184959319295791,13.205186274742431,24.06877838983783,5017.944000000001,5231.506349153592,4804.381650846411,-0.8727189858228623,7.940009284782468,4790,0,2025-10-28,3900,,118,32.97051282051283,2025-10-16,4790,,130,0,,,,-1,5355.962493890915,2026-01-30,4924.45,5.30820700788921
WLFIUSDT,World Liberty Financial,2026-02-23T03:45:18.115Z,2025-09-01,0.114,-0.5235602094240746,59082444.8,blue,close,19,2026-02-04,0.1335,-14.60674157303371,43.481747286287174,open,2026-02-16,0.1007,7,13.207547169811317,,,CRYPTO:WLFIOUSD,3144742465.56233,,World Liberty Financial,0.14213599999999998,0.144526,,-19.795125795013213,-21.121459114622965,,0.110465,0.1264636593188304,0.09446634068116956,-9.855526390714342,20.677904085178756,0.1907,40.22024121657053,2026-02-06,0.0961,,17,18.6264308012487,2026-01-14,0.1907,,40,40.22024121657053,,,,-1,0.1376831555684477,2026-01-31,0.1328,-14.156626506024095
ZECUSDT,Zcash,2026-02-23T03:45:19.575Z,2019-03-21,239.89,-1.9416285153695225,51477.121,blue,close,25,2026-01-29,353.54,-32.146291791593605,38.49552004855911,open,2026-02-04,251.78,19,-4.722376678052276,,,CRYPTO:ZECUSD,3967244890.0477104,,Zcash,331.4818,400.29960000000005,288.8807499999999,-27.63101925957927,-40.0723857830485,-16.958814320441896,256.744,311.31024245813524,202.17775754186482,-22.941822245935196,18.653012535429923,560,57.16250000000001,2026-02-06,184.57,,17,29.972368207184264,2025-12-29,560,,56,57.16250000000001,,,,-1,329.2356733358002,2025-12-01,343.94,-30.25236959934873
KITEUSDT,Kite,2026-02-23T03:45:20.308Z,2025-11-03,0.2602,1.482059282371283,31516128.7,gold,open,53,2026-01-01,0.0935,178.28877005347593,65.6844521458107,close,2026-02-20,0.2622,3,-0.7627765064835978,,,CRYPTO:KITEUSD,467460000,,Kite,0.14570400000000003,0.11893299999999998,,78.58123318508754,118.7786400746639,,0.19876500000000002,0.27681558039502335,0.1207144196049767,-6.0024007215607185,115.55005677985525,,,,,,,,,,,,,,,,1,0.16728463812901667,2026-01-22,0.1106,135.26220614828208
