ticker,name,collected_at,data_start_date,price,change,volume,ghl_color,ghl_status,ghl_days_since_change,ghl_last_change_date,ghl_last_change_price,ghl_change_percent_from_last_change,rsi,rsi_status,rsi_last_change_date,rsi_last_change_price,rsi_days_since_last_change,rsi_change_percent_from_last_change,sector,industry,tradingview_id,market_capitalization,commodity_name,display_name,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,last_max,fell_from_last_max,last_local_min_date,last_local_min_price,is_last_candle_min,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,is_last_candle_max,days_after_last_local_max,percent_fall_from_last_local_max,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,ml_direction,ml_value,ml_last_change_date,ml_last_change_price,ml_change_percent_from_last_change
BTCUSDT,Bitcoin,2026-04-22T00:45:10.606Z,2017-08-14,76347.99,3.4500518212363303,32323.11844,blue,close,21,2026-03-30,69034.18,10.594476533218788,44.80090818075925,open,2026-02-02,70330.38,77,8.556202881315311,,,CRYPTO:BTCUSD,1528516212779.95,,Bitcoin,96234.54679999995,87751.70589999999,60203.74380000003,-20.664675484292882,-12.995434998147404,26.816017046434858,76990.14849999998,96693.77184577806,57286.525154221905,-21.04146053814986,33.27390655038413,73777,0,2024-08-05,49000,,623,55.81222448979592,2024-03-11,73777,,770,0,,,,-1,92836.83166027271,2025-11-10,94261.45,-19.004014896863985
ETHUSDT,Ethereum,2026-04-22T00:45:12.118Z,2017-08-14,2327.05,2.8180464549081727,532439.7653,blue,close,42,2026-03-09,2178.29,6.829210068448188,43.744264049361355,close,2025-08-04,4250.58,259,-45.253353659971104,,,CRYPTO:ETHUSD,280831150976.2848,,Ethereum,3086.717199999999,2941.6890999999973,2450.799649999999,-24.610845463912245,-20.894087685880802,-5.049358073802523,2432.7784999999994,3384.9837713837487,1480.57322861625,-31.25373244998677,57.17223268820491,4956.78,53.0531917898313,2026-02-02,1747.8,,77,33.141663805927465,2025-08-18,4956.78,,245,53.0531917898313,,,,-1,3261.2096414683183,2025-11-17,2802.16,-16.955134610443356
SOLUSDT,Solana,2026-04-22T00:45:13.123Z,2020-08-10,86.27,3.3544986222594915,4491642.397,blue,close,77,2026-02-02,86.99,-0.827681342683062,35.43292822130405,open,2026-02-09,86.15,70,0.13929193267554485,,,CRYPTO:SOLUSD,49651294649.640045,,Solana,146.81980000000001,157.66809999999995,105.02420000000001,-41.2408953015874,-45.283795517292326,-17.85702723753193,101.313,145.28187676527568,57.344123234724314,-40.61888384097494,50.44261754055353,253.51,65.96978422941896,2026-02-02,67.5,,77,27.807407407407403,2025-09-15,253.51,,217,65.96978422941896,,,,-1,139.21398785237938,2025-11-10,137.17,-37.1072391922432
XRPUSDT,XRP,2026-04-22T00:45:14.621Z,2018-04-30,1.4311,2.6466790991249414,185998710,blue,close,7,2026-04-13,1.3943,2.6393172201104376,37.606338176964044,close,2025-07-14,3.4541,280,-58.5680785153875,,,CRYPTO:XRPUSD,88106212462.077,,XRP,2.200814,1.831061000000001,1.1595480000000002,-34.974059597948745,-21.84312810987732,23.41878042133656,1.5989300000000002,2.159844621310588,1.0380153786894124,-33.74060402865404,37.868862964910235,3.6607,60.906384024913265,2026-02-02,1.1172,,77,28.097028284998217,2025-07-14,3.6607,,280,60.906384024913265,,,,-1,2.175489642470488,2025-12-08,1.9784,-27.663768701981397
ZECUSDT,Zcash,2026-04-22T00:45:16.160Z,2019-03-18,317.29,5.268571049401146,385168.136,gold,open,497,2024-12-09,59.08,437.05145565335147,52.75072620956504,close,2025-09-29,165.41,203,91.82032525240314,,,CRYPTO:ZECUSD,5282348420.993852,,Zcash,226.252,131.88300000000004,84.45645,40.23743436522109,140.5844574357574,275.68474639888365,317.661,508.7912375763709,126.53076242362908,-37.63847005081845,150.76115398538644,750,57.69466666666666,2025-04-07,20.71,,378,1432.061805890874,2025-11-03,750,,168,57.69466666666666,,,,-1,497.0433082790486,2025-12-01,342.81,-7.444356932411534
BNBUSDT,BNB,2026-04-22T00:45:17.645Z,2017-11-06,632.63,2.6896730837905483,199302.815,grey,close,35,2026-03-16,626.41,0.9929598825050734,39.85930262780247,close,2025-09-29,1167.38,203,-45.807706145385396,,,CRYPTO:BNBUSD,85271348238.8352,,BNB,804.8456,705.3002999999999,509.7021499999996,-21.397346273620677,-10.303455138187223,24.117585142617216,720.0265,972.7393008055785,467.31369919442153,-34.9640752176781,35.37587301432825,793.86,20.30962638248558,2025-02-03,500,,441,26.526,2024-12-02,793.86,,504,20.30962638248558,,,,-1,864.5037008783061,2025-11-17,843.6,-25.008297771455666
DOGEUSDT,Dogecoin,2026-04-22T00:45:19.583Z,2019-07-01,0.09521,2.3543324016340543,1265474043,blue,close,112,2025-12-29,0.14952,-36.32289994649545,37.24918353575847,close,2024-11-04,0.27781,532,-65.72837550844102,,,CRYPTO:DOGEUSD,14659308926.852167,,Dogecoin,0.16613900000000004,0.18500889999999998,0.13615429999999987,-42.69256465971266,-48.537610893313776,-30.071984505814285,0.10787,0.1463135019216512,0.06942649807834879,-34.92739989848401,37.13784021275877,0.48434,80.34232150968327,2026-02-02,0.08001,,77,18.997625296837903,2024-12-02,0.48434,,504,80.34232150968327,,,,-1,0.1607076538211926,2025-01-27,0.26809,-64.48580700511022
TRXUSDT,TRON,2026-04-22T00:45:21.785Z,2018-06-11,0.3324,1.0027347310847674,238493273.5,gold,open,1057,2023-05-29,0.08137,308.504362787268,62.931682758808336,close,2025-07-14,0.3141,280,5.8261700095511015,,,CRYPTO:TRXUSD,31520662811.488518,,TRON,0.30426400000000003,0.24903870000000006,0.16604154999999998,9.247232666368665,33.47323126887505,100.19085584301037,0.29968500000000003,0.3350011308752814,0.2643688691247187,-0.77645435658239,25.73341222078116,0.45,26.13333333333334,2025-02-03,0.2011,,441,65.29090004972649,2024-12-02,0.45,,504,26.13333333333334,,,,-1,0.3368627460911823,2025-11-17,0.275,20.872727272727243
PEPEUSDT,Pepe,2026-04-22T00:45:22.520Z,2023-05-01,0.00000382,4.657534246575333,17461600749771,blue,close,154,2025-11-17,0.00000416,-8.173076923076927,41.78453762636499,close,2024-11-25,0.00002225,511,-82.8314606741573,,,CRYPTO:PEPEUSD,1581355725.0266948,,Pepe,0.000007424000000000001,0.0000095405,,-48.545258620689665,-59.96016980242125,,0.0000041504999999999995,0.000006093039317491411,0.0000022079606825085876,-37.30550877894635,73.01032714313935,0.00002836,86.53032440056417,2025-10-06,0.00000279,,196,36.91756272401434,2024-12-09,0.00002836,,497,86.53032440056417,,,,-1,0.000007202047429713224,2025-01-27,0.00001078,-64.56400742115028
AAVEUSDT,Aave,2026-04-22T00:45:23.972Z,2020-10-12,92.15,2.071333628710683,931336.334,blue,close,63,2026-02-16,117.96,-21.880298406239397,31.453871685591125,close,2024-12-02,282.67,504,-67.40014858315351,,,CRYPTO:AAVEUSD,1418926042.591599,,Aave,208.1074,193.14570000000003,137.0463,-55.71997920304612,-52.28990342523805,-32.759950469293955,127.03000000000002,188.2041988096289,65.85580119037112,-51.037224151831495,39.92692873573815,399.85,76.95385769663623,2025-10-06,79.51,,196,15.89737139982392,2024-12-16,399.85,,490,76.95385769663623,,,,-1,179.90092828149622,2025-11-10,172.89,-46.700214008907395
PAXGUSDT,PAX Gold,2026-04-22T00:45:24.967Z,2020-08-24,4729.77,-0.21582278481011738,13872.37,gold,open,1127,2023-03-20,1989,137.79638009049776,55.095431857866885,close,2026-02-02,5043.41,77,-6.218808306284829,,,CRYPTO:PAXGUSD,2302230000.71183,,PAX Gold,4086.8284000000012,3398.3542,2663.7021000000004,15.732042970044912,39.17825281425933,77.56377486806801,4754.632,5362.170819882318,4147.093180117681,-11.793746248020442,14.050246632408303,3295,0,2024-04-29,2265,,721,108.8198675496689,2024-04-08,3295,,742,0,,,,1,4435.6890346619875,2023-01-02,1858,154.56243272335848
ADAUSDT,Cardano,2026-04-22T00:45:26.219Z,2018-04-16,0.2506,3.3828382838283764,213192252.3,blue,close,119,2025-12-22,0.3689,-32.06831119544592,32.75286021993759,open,2026-03-23,0.2398,28,4.503753127606336,,,CRYPTO:ADAUSD,9060993052.49334,,Cardano,0.5412279999999999,0.5815070000000001,0.49464650000000027,-53.6978870272787,-56.90507594921472,-49.33755722521036,0.30053,0.417828612097501,0.18323138790249904,-40.02325529073101,36.76696054572761,1.3264,81.10675512665863,2026-02-02,0.2205,,77,13.650793650793643,2024-12-02,1.3264,,504,81.10675512665863,,,,-1,0.45228465068559487,2025-02-03,0.6815,-63.22817314746882
GUNUSDT,Gunz,2026-04-22T00:45:26.703Z,2025-03-31,0.01899,-7.139364303178482,2616997358,blue,close,189,2025-10-13,0.01995,-4.812030075187968,42.67629586842657,close,,0,0,0,,,CRYPTO:GUNUSD,32695270,,Gunz,0.024045400000000005,,,-21.02439551847757,,,0.020604,0.03237748784345573,0.008830512156544266,-41.34813642177513,115.04981436355952,,,,,,,,,,,,,,,,-1,0.03802234946769834,2025-08-25,0.0216,-12.083333333333336
ORDIUSDT,ORDI,2026-04-22T00:45:27.200Z,2023-11-06,4.722,12.29488703923901,16459412.63,blue,close,700,2024-05-20,40.77,-88.41795437821928,54.02663986048625,close,2024-02-12,69.445,798,-93.20037439700482,,,CRYPTO:ORDIUSD,99084300,,ORDI,6.022679999999999,16.598740000000003,,-21.59636573751219,-71.55205756581525,,3.3337499999999998,5.2820862004541205,1.3854137995458788,-10.603503600641117,240.83679558755748,,,,,,,,,,,,,,,,-1,5.66781920675254,2024-04-08,47.863,-90.134341767127
AVAXUSDT,Avalanche,2026-04-22T00:45:29.091Z,2020-09-21,9.42,4.666666666666666,5988992.07,blue,close,385,2025-03-31,16.05,-41.30841121495328,37.094330709329505,close,2024-12-02,53.99,504,-82.55232450453788,,,CRYPTO:AVAXUSD,4064787596.914508,,Avalanche,17.307999999999996,22.840099999999993,22.38054999999999,-45.5743009013173,-58.75674800022765,-57.90988157127504,10.458999999999998,14.187184008334352,6.7308159916656445,-33.60204537795407,39.9533134119876,55.79,83.11525362968274,2026-02-02,7.55,,77,24.768211920529804,2024-12-02,55.79,,504,83.11525362968274,,,,-1,16.17731143630906,2025-01-27,27.63,-65.90662323561347
